Year,Trenberth,JRA55
1958.04,0.13,-0.0194952
1958.12,0.13,-0.0190025
1958.21,0.13,-0.0173952
1958.29,0.13,-0.0145781
1958.37,0.13,-0.00861963
1958.46,0.12,-0.00233759
1958.54,0.12,0.00267295
1958.62,0.12,0.00941593
1958.71,0.12,0.0167405
1958.79,0.11,0.0215405
1958.87,0.11,0.025797
1958.96,0.11,0.0305607
1959.04,0.11,0.0354056
1959.12,0.11,0.0390786
1959.21,0.11,0.0417397
1959.29,0.11,0.0453693
1959.37,0.11,0.0482572
1959.46,0.11,0.0506355
1959.54,0.1,0.0517958
1959.62,0.1,0.0543736
1959.71,0.1,0.0575063
1959.79,0.1,0.0593292
1959.87,0.1,0.0597174
1959.96,0.1,0.0609393
1960.04,0.1,0.0642145
1960.12,0.1,0.0670442
1960.21,0.1,0.0682179
1960.29,0.09,0.0679492
1960.37,0.09,0.066927
1960.46,0.09,0.067489
1960.54,0.09,0.0678419
1960.62,0.08,0.0691564
1960.71,0.08,0.069742
1960.79,0.07,0.0704113
1960.87,0.07,0.0728478
1960.96,0.06,0.0730902
1961.04,0.06,0.0725492
1961.12,0.06,0.0723079
1961.21,0.06,0.0716631
1961.29,0.06,0.069923
1961.37,0.06,0.0694003
1961.46,0.06,0.0678573
1961.54,0.06,0.0677043
1961.62,0.05,0.0669259
1961.71,0.05,0.0666629
1961.79,0.06,0.0657636
1961.87,0.06,0.0643087
1961.96,0.06,0.0619236
1962.04,0.06,0.0591403
1962.12,0.06,0.0574238
1962.21,0.06,0.0565483
1962.29,0.06,0.0552642
1962.37,0.06,0.0564358
1962.46,0.06,0.058668
1962.54,0.06,0.0597844
1962.62,0.06,0.0605048
1962.71,0.06,0.0594698
1962.79,0.06,0.0560592
1962.87,0.06,0.0510226
1962.96,0.06,0.0456196
1963.04,0.06,0.0420195
1963.12,0.06,0.0398385
1963.21,0.06,0.0397146
1963.29,0.06,0.0419425
1963.37,0.06,0.0455051
1963.46,0.05,0.0501606
1963.54,0.05,0.0538643
1963.62,0.05,0.0559213
1963.71,0.05,0.0564294
1963.79,0.04,0.0555249
1963.87,0.04,0.0541166
1963.96,0.04,0.0554322
1964.04,0.04,0.0555127
1964.12,0.04,0.0545481
1964.21,0.04,0.052364
1964.29,0.04,0.0491485
1964.37,0.04,0.047744
1964.46,0.04,0.0472892
1964.54,0.04,0.0445011
1964.62,0.04,0.0433238
1964.71,0.04,0.0421941
1964.79,0.04,0.0434364
1964.87,0.04,0.0428578
1964.96,0.04,0.0412063
1965.04,0.04,0.0394403
1965.12,0.03,0.0376332
1965.21,0.03,0.0367131
1965.29,0.03,0.0350461
1965.37,0.03,0.0329224
1965.46,0.03,0.0334774
1965.54,0.03,0.0358333
1965.62,0.02,0.0367785
1965.71,0.02,0.038518
1965.79,0.02,0.0390886
1965.87,0.02,0.0404911
1965.96,0.01,0.0419567
1966.04,0.01,0.0432148
1966.12,0.01,0.0441609
1966.21,0.01,0.0435755
1966.29,0.01,0.0452469
1966.37,0,0.0476672
1966.46,0,0.0499546
1966.54,0,0.0518642
1966.62,0,0.0553216
1966.71,0,0.058483
1966.79,0,0.0585287
1966.87,0,0.0575305
1966.96,-0.01,0.0578395
1967.04,-0.01,0.0602567
1967.12,-0.01,0.064332
1967.21,-0.02,0.0695281
1967.29,-0.02,0.0738974
1967.37,-0.03,0.0799383
1967.46,-0.03,0.086101
1967.54,-0.04,0.0891132
1967.62,-0.04,0.0926199
1967.71,-0.04,0.0930596
1967.79,-0.05,0.0939157
1967.87,-0.05,0.0942367
1967.96,-0.06,0.0972138
1968.04,-0.06,0.101781
1968.12,-0.07,0.104668
1968.21,-0.07,0.106111
1968.29,-0.08,0.104869
1968.37,-0.08,0.102719
1968.46,-0.08,0.09797
1968.54,-0.08,0.0936619
1968.62,-0.08,0.0901074
1968.71,-0.08,0.0837037
1968.79,-0.08,0.0775456
1968.87,-0.08,0.0720564
1968.96,-0.08,0.0649361
1969.04,-0.08,0.0583878
