Year,ERA-5,JRA55
1979,1.05089,1.06014
1980,-3.60272,-4.07698
1981,-1.46379,-1.21394
1982,-0.244872,-0.335743
1983,0.535852,0.505942
1984,-2.18357,-1.74108
1985,1.15817,1.35848
1986,-1.25842,-1.35748
1987,-0.187979,-0.480559
1988,-1.15005,-1.0362
1989,2.07894,2.16804
1990,-0.537585,-0.31202
1991,-2.67013,-2.05847
1992,-2.68876,-2.42423
1993,1.31632,1.56319
1994,-1.36703,-0.980318
1995,-0.388389,0.0365294
1996,-1.03008,-1.2204
1997,-0.527492,-0.52408
1998,4.6975,4.69334
1999,2.71789,2.59908
2000,-1.24927,-1.07009
2001,1.44504,1.66743
2002,-3.39209,-3.03674
2003,-1.03079,-0.796827
2004,0.397059,0.605366
2005,-1.82684,-1.12621
2006,0.705752,0.824439
2007,-1.58114,-1.41207
2008,1.72814,1.82205
2009,-1.79592,-1.75158
2010,3.47325,3.27941
2011,-0.531007,-0.673399
2012,0.850652,0.586529
2013,0.257614,-0.119235
2014,0.291953,-0.264715
2015,3.1213,2.43896
2016,1.66001,1.20798
2017,1.92884,1.38202
2018,1.5826,1.0196
2019,-0.289823,-0.806082
